time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
2.1333333,-35.39382498069251,2.2793120481244156,-0.18690816329899262,0.03182752532712755,0.5535945093921714,-0.0415569191923299,110.88949378127559,-5.155079970595056,2.1592752015677834,107.96271535342548,1.8843048534078553,21.904151211867557,-21.035749212736626,-7.49999987000139,-28.289175835571726,-2.0478264812017892,0.7757181409452597
2.1375,-35.70391057992636,2.3114268259876267,-0.06709169438071154,0.03330503765842064,0.5533236505778549,-0.03950892391763414,111.0462890425167,-5.602374946312194,2.0453534251872405,107.91627996157283,1.8834944029406726,22.26193828957347,-20.327386625139226,-7.49999987000139,-28.499677903609477,-2.26793038997172,0.7211908524499298
2.1416667,-35.99257848587659,2.3317138278702476,0.07617463156075492,0.034852570269087904,0.5531305851413845,-0.03783250108983515,111.17999940363293,-6.016918651247949,1.909866341072603,107.86926714342897,1.8826738744437963,22.634521673816447,-19.612648001672813,-7.49999987000139,-28.68481615253738,-2.456545626968675,0.6500032277292707
2.1458333,-36.256112510512814,2.3399793542808434,0.23747766455867747,0.0364702983725065,0.5529945048684994,-0.036625800688412,111.28958798103498,-6.380921890803614,1.7541041757988831,107.82887717608445,1.881968936457946,23.01945034397007,-18.914711395764495,-7.49999987000139,-28.830797595183707,-2.6007183660735937,0.5674315952795321
2.15,-36.49174699283303,2.337349657278618,0.40967957913131015,0.03815806980635403,0.5529030384975542,-0.03595706729008093,111.37328181853594,-6.679319805897631,1.5805530534786316,107.80065388462663,1.8814763469859659,23.413195812724815,-18.257301237897924,-7.49999987000139,-28.92618529273756,-2.690023874777484,0.4803287915386307
2.1541667,-36.6977719560988,2.3259241818680687,0.5846888215054444,0.03991382752784485,0.5528519275725077,-0.03585983249507398,111.42899980078207,-6.90038929825967,1.3931191955373055,107.7883806840063,1.8812621390811228,23.811138232494475,-17.66340653464339,-7.49999987000139,-28.96255448921984,-2.7172063407631146,0.3965957899075328
2.1583333,-36.87350736154704,2.3083428757845796,0.7542740100070465,0.041731587421774935,0.5528441318533648,-0.03633090378482309,111.45482183507386,-7.0361097401095964,1.1972590844097806,107.79408051474277,1.8813616197245169,24.20752510626115,-17.154065608725112,-7.49999987000139,-28.934956250614484,-2.6785888238199993,0.32453340615386095
2.1625,-37.019173459343584,2.2873362553768697,0.9108304932096669,0.04359962409295575,0.5528886240957755,-0.037331334340532846,111.4494188372082,-7.0822773971590856,0.9999629934723252,107.81809018057015,1.881780667261004,24.595434695010255,-16.747292369366672,-7.49999987000139,-28.842163008609607,-2.574251446435881,0.2721364832933293
2.1666667,-37.13569798799803,2.2653249508179263,1.0480162423829509,0.04549944530165371,0.552999133362717,-0.038790302939953315,111.41236664774672,-7.038402150861301,0.809554833803558,107.8591781302634,1.8824977870789164,24.96679801579794,-16.457203211259568,-7.49999987000139,-28.68667774625611,-2.4079885278703577,0.24640057500291504
2.1708333,-37.22450294641748,2.244121397180189,1.1611918212239667,0.047405947319072085,0.5531930000214225,-0.040611588082678285,111.34428697849076,-6.907425748113359,0.635296427125814,107.91468349169583,1.8834665382111109,25.31253846109263,-16.293390132824875,-7.49999987000139,-28.474502120182958,-2.18705790948745,0.25270638395679323
